ContextID	Compound	Mod	Head	Context
NCTTI-0222	fresh water	fresh	water	always make sure to provide plenty of fresh water for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating .
NCTTI-0223	Freudian slip	freudian	slip	well it wasn ' t a mistake or a freudian slip of the finger y ' see the senators site is also supposedly using unlicenced software !
NCTTI-0224	front man	front	man	john paul ii was an effective front man for the catholic church .
NCTTI-0225	front man	front	man	he couldn ' t play an instrument but was the perfect choice for a front man .
NCTTI-0226	front runner	front	runner	. on 11 october 2005 the first round of presidential elections were held . the front runner george weah led the field with 28 % followed by former world bank official ellen
NCTTI-0227	front runner	front	runner	an unsettled run of results and although they were never likely to be amongst the front runners this season it is something of a shock to see them hovering just above the
NCTTI-0228	front runner	front	runner	confirm the identity of the buyer , but kruidvat appears to have emerged as the front runner . top of the page call on lords to scrap clause 67 the association of
NCTTI-0229	game plan	game	plan	and doing showcases , i had lots of irons in the fire . the only game plan i had was when to finish university , which was when everyone else was getting
NCTTI-0230	game plan	game	plan	a replay would be required . one could be excused for wondering if nelson ' s game plan from the earliest stages had been to hope for a potentially lucrative replay and the
NCTTI-0231	game plan	game	plan	had requested that she do a cinderella party and was very pleased with all the game plans in line with the theme . i know that all the kids enjoyed themselves and
NCTTI-0232	ghost town	ghost	town	the town centre is now deserted - it ' s almost like a ghost town !
NCTTI-0233	ghost town	ghost	town	with the mines closing down in the early 1990 ' s it tumbled into the darkness of a small quiet ghost town .
NCTTI-0234	glass ceiling	glass	ceiling	women are continuing to slowly break through the glass ceiling of uk business and increase their company ' s profitability , according to new research .
NCTTI-0235	glass ceiling	glass	ceiling	"described as "" the woman who cracked the bbc ' s glass ceiling "" , she has recently published her autobiography under the title of woman of today ."
NCTTI-0236	glass ceiling	glass	ceiling	if a woman fails to get promoted , she ' s hit the ' glass ceiling ' .
NCTTI-0237	gold mine	gold	mine	gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv gold mine ! apart from their instant star appeal , this is a funny and charming duo
NCTTI-0238	gold mine	gold	mine	demand for locomotives in south africa , which was extremely high at the time with gold mines being sunk in the free state gold field and the discovery of the evander gold
NCTTI-0239	gold mine	gold	mine	to optimise the potential of our combined uk dealer network , which is a true gold mine . european distribution is now centralised in lausanne and there are now one national import
NCTTI-0240	goose egg	goose	egg	and he has a black goose egg on his forehead .
NCTTI-0241	graduate student	graduate	student	as a dunn student , you also become a member of a wider community of graduate students on the hospital site . we ' ve recently begun to have closer contact with students
NCTTI-0242	graduate student	graduate	student	has concentrated on fish , conducted mainly by overseas scientists and latterly , by malawian graduate students ( dnpw , pers . comm . 1995 ) . conservation value lake malawi national park
NCTTI-0243	graduate student	graduate	student	draw to the attention of the mcr committee the welfare interests of graduate students , and the implications of its policies for welfare issues ; organise such events concerning
NCTTI-0244	grandfather clock	grandfather	clock	died . details of any special gifts you wish to make ( e . g . jewellery , grandfather clock etc . ) details of any legacies you wish to make ( e . g . ¬£ 500 to
NCTTI-0245	grandfather clock	grandfather	clock	wrapped up and in a box under a stone slab in the dairy . the grandfather clock fell to the floor . within a few days tarpaulin had been spread over the
NCTTI-0246	grandfather clock	grandfather	clock	a firm favourite , with english oak being among the most popular finishes . a grandfather clock is a classic heirloom , and decent working examples from the 17 th and 18
NCTTI-0247	grass root	grass	root	i have asked the arts council to develop strategies to recognise the importance of community , grass roots activity in developing the arts in wales .
NCTTI-0248	grass root	grass	root	if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the grass root level irrespective of the geographical location
NCTTI-0249	grass root	grass	root	the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at grass root level .
NCTTI-0250	graveyard shift	graveyard	shift	in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the graveyard shift of conference week is n ' t it ? not at all - it ' s the fringe meeting so
NCTTI-0251	graveyard shift	graveyard	shift	, dads working two jobs , dead end jobs , labor workers , helpers , graveyard shift workers , long commuters , students and on and on and on . actually ,
NCTTI-0252	graveyard shift	graveyard	shift	0 pm slot to his lower profile life as a dj on radio norwich ' s graveyard shift . here is a selection of images of his flirtation with the 800 and
NCTTI-0253	gravy train	gravy	train	complains , and gains , most from taxes and government - from the federal government gravy train might provide the right with just the kind of crash course in addition and subtraction
NCTTI-0254	gravy train	gravy	train	' ( man , 30 - 45 , london ) , ' it ' s a gravy train . they ' ve all doubled their wages ' ( man , 30 - 45 ,
NCTTI-0255	gravy train	gravy	train	represented themhaving signed away their birthright so that they can join theirfellow politicians on the gravy train . for the uk the betrayal of the national interest by thesurrender of over a
NCTTI-0256	grey matter	grey	matter	give your grey matter the workout that it needs to stay sharp and focused .
NCTTI-0257	ground floor	ground	floor	eight , even the divers did n ' t get to see these floors . on the ground floor we were shown into one of the escape chambers , inside there was a red
NCTTI-0258	ground floor	ground	floor	our new flagship , setting the trends for university catering services is situated on the ground floor of the new building : food hall offers exciting , innovative dishes from around the
NCTTI-0259	ground floor	ground	floor	pillows and bed linen provided . cot available . bathrooms two : one on the ground floor and the other on the top floor . both have bath with electric shower over
NCTTI-0260	guilt trip	guilt	trip	self - discipline . food can also be about weight , and weight gain - an instant guilt trip for many women . some women live in areas , and on incomes , where
NCTTI-0261	guilt trip	guilt	trip	a new pair of jeans or a pretty skirt will end up in a major guilt trip if the money is not her own , hard - earned cash . what makes matters worse
NCTTI-0262	guilt trip	guilt	trip	not to be sniffed at - but beyond that , is this all just another guilt trip for harassed parents ? i have three small children and my youngest , who is
NCTTI-0263	guinea pig	guinea	pig	but ford has devised a test to prove them wrong - - and i agreed to play guinea pig .
NCTTI-0264	half sister	half	sister	he learns the truth , that his mistress is also his half sister .
NCTTI-0265	half wit	half	wit	brock brock , called half wit by the villagers , claims he is a herald .
NCTTI-0266	half wit	half	wit	it is an idea of half wits that scientists themselves must falsify their own ideas .
NCTTI-0267	hard drive	hard	drive	all these temporary files will slow down your computer , take up space on your hard drive ( memory ) .
NCTTI-0268	head hunter	head	hunter	for a head hunter , networking is all about visibility and profile .
NCTTI-0269	head teacher	head	teacher	"pupils to safeguard their reputation or position in school league tables . the association said head teachers had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and"
NCTTI-0270	head teacher	head	teacher	in primaries to teach mfl . it has resulted in a meeting being arranged for head teachers in colchester secondaries to discuss this with the director of languages at thomas lord audley
NCTTI-0271	head teacher	head	teacher	dover girls ' grammar school head teacher julia bell said this year ' s average point score was 26 , only 0 . 2 down
NCTTI-0272	health care	health	care	his interests are effectiveness of public health interventions and the measurement of health care performance , including alternative medicines .
NCTTI-0273	health care	health	care	trade unions have a clear role in the management of health and safety for health care workers and patients
NCTTI-0274	health care	health	care	members of the community usually come to the hospital for a course then return to provide basic health care services .
NCTTI-0275	health insurance	health	insurance	health insurance policy packages may soon offer vouchers for gym membership , protein supplements
NCTTI-0276	health insurance	health	insurance	nearly percent of . paid per individual the multivariate analysis the employees participated in . the health insurance affected by prwora made by workers increase let me . different mid atlantic medical services
NCTTI-0277	health insurance	health	insurance	most financial planners suggest making a health insurance plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps
NCTTI-0278	heavy cross	heavy	cross	having to pay back university top - up fees is a heavy cross to carry , especially for those graduates from less well - off homes .
NCTTI-0279	heavy cross	heavy	cross	her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a heavy cross for farmers to bear .
NCTTI-0280	high life	high	life	he was accused by the daily mirror of living the high life at the charity ' s expense .
NCTTI-0281	high life	high	life	i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' high life ' .
NCTTI-0282	home run	home	run	ou can ' t hit a home run every time up at bat , but at least i want to show that i ' m trying my best .
NCTTI-0283	home run	home	run	the series showcased rookie willie mcgee hitting two home runs in game 3 , still tied as a record for rookies .
NCTTI-0284	home run	home	run	the star of olympic baseball has been orestes kindelan olivares who established a games record of nine home runs in nine games .
NCTTI-0285	honey trap	honey	trap	by planting a local weed ( napier grass ) , pests are lured away from the corn into a honey trap .
NCTTI-0286	honey trap	honey	trap	prices are what you would expect in a tourist honey trap .
NCTTI-0287	honey trap	honey	trap	the son of the cabinet minister was at the centre of a cannabis honey trap .
NCTTI-0288	human being	human	being	not only , got to be connected into things but also to be a decent human being ¬ö all that power can be corrupting . jc : the greatest strength of the
NCTTI-0289	human being	human	being	, there is no need to do so . you stand tall enough as a human being of unique qualities not to need to be seen as a saint . indeed to
NCTTI-0290	human being	human	being	' s critique of the goddess as a relational symbol in postmodern technological societies ¬ö how human beings relate to technology , a very processed form of nature ¬ö covent garden nature in
NCTTI-0291	incubation period	incubation	period	the incubation period , from exposure to the appearance of the rash , is usually 14 to 21 days .
NCTTI-0292	incubation period	incubation	period	the incubation period is approximately 3 - 10 days whilst the duration of illness can be longer .
NCTTI-0293	information age	information	age	computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the information age .
NCTTI-0294	information age	information	age	how to operate in a world characterized by information age technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .
NCTTI-0295	information age	information	age	i said that the new information age economy would need not less but more competition .
NCTTI-0296	injury time	injury	time	sam was replaced in injury time having just missed a try scoring opportunity .
NCTTI-0297	injury time	injury	time	the final play of the match came in injury time as rangers kept the ball in the falkirk half .
NCTTI-0298	injury time	injury	time	he mysteriously awarded the visitors a free kick , and then an undeserved corner , in injury time .
NCTTI-0299	inner product	inner	product	you can use the product global function to do matrix - matrix inner product multiplication .
NCTTI-0300	inner product	inner	product	in particular , note that operator * = does element - by - element multiplication , not inner product style matrix multiplication .
NCTTI-0301	insane asylum	insane	asylum	her half - sister was an inmate of an insane asylum .
NCTTI-0302	insane asylum	insane	asylum	this often involved undercover work and feigned insanity to get into the insane asylum on blackwell ' s island .
NCTTI-0303	interest rate	interest	rate	7 times your salary works very well if coupled with rising property prices and low interest rates but think carefully about what may happen to your personal financial commitments should that trend
NCTTI-0304	interest rate	interest	rate	as well as having to pay pensions for longer , the current climate of low interest rates adds to the expense of purchasing an annuity . pension funds are having to set
NCTTI-0305	interest rate	interest	rate	average practice output : + sales revenue : + rate of return to training / interest rate same as above desired investment in physical capital same as above a function of :
NCTTI-0306	iron collar	iron	collar	the remains of an iron ring to which a chain and iron collar would have been attached .
NCTTI-0307	ivory tower	ivory	tower	". "" to get two letters passing it further down the line underlines the rather ivory tower approach by senior officers . "" yesterday , a police spokesman said : "" bedfordshire"
NCTTI-0308	ivory tower	ivory	tower	recently the globalization adversaries emerged ; the experts at the universities had to abandon their ivory towers and present their research at the market place in order to rebuild public confidence .
NCTTI-0309	ivory tower	ivory	tower	may seem to be with this exhibition a case of moving art out of one ivory tower ( namely the gallery ) into another ( the theatre ) , i for one
NCTTI-0310	jet lag	jet	lag	this is similar to jet lag , where rapid travel between time zones means that you find yourself awake when everybody else is asleep
NCTTI-0311	job fair	job	fair	update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any job fairs .
NCTTI-0312	job fair	job	fair	summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual job fair .
NCTTI-0313	kangaroo court	kangaroo	court	shall not yield in our quest for justice and we shall refuse to acknowledge the kangaroo courts which will facilitate this farce of amnesty . rest assured we shall fight ever avenue
NCTTI-0314	kangaroo court	kangaroo	court	, the trial would seem to the world to be as unfair as saddam ' s kangaroo courts . that is not to say american justice is unfair . in fact , the
NCTTI-0315	kangaroo court	kangaroo	court	¬ó including the despicable st ¬∏ rmer . to hitler the trial smacked of a kangaroo court , and he told other party leaders like ley that he felt an injustice had
NCTTI-0316	labour union	labour	union	that same year the first campesino labour union was formed .
NCTTI-0317	labour union	labour	union	they set up a successful communist labour union in france right after the war .
NCTTI-0318	labour union	labour	union	about two years ago , a labour union tried to organize the workers , but the workers refused .
NCTTI-0319	law firm	law	firm	and israel . since the 60 s , clintons , as one of the leading law firms in the music industry , has represented artists in the pop , rock and classical
NCTTI-0320	law firm	law	firm	the chair of lawyers for change and a partner at kaltons llp , a commercial law firm specialising in technology and innovations . what i do is bring people together and help
NCTTI-0321	law firm	law	firm	duty by debenture , and so they go away for holland . ¬î south west law firm foot anstey ' s continued expansion means a second office in taunton at the quad 3000
NCTTI-0322	leap year	leap	year	it comprises 12 months of 30 days , plus 5 days ( 6 in a leap year ) ; each month has 3 decades of 10 days .
NCTTI-0323	life vest	life	vest	in this way , the vest resembles a typical ' life vest ' used by boaters .
NCTTI-0324	life vest	life	vest	the life vest under your seat , with built - in whistle and flashlight , is next to useless .
NCTTI-0325	lime tree	lime	tree	they posted the letter , which begins ' dear the tree ' , on the lime tree ' s trunk .
NCTTI-0326	lime tree	lime	tree	and the lime tree , lovely and tall , every leaf silent hardly looses even a last breath of perfume .
NCTTI-0327	lip service	lip	service	". "" when we advocate sustainable development of air transport , we are not paying lip service to the environment , rather we are calling for a comprehensive set of measures to"
NCTTI-0328	lip service	lip	service	of course , the same in this country . the tory right has also paid lip service to morality and not delivered . nor are things better now under the democratic left
NCTTI-0329	lip service	lip	service	the separation was a polite fiction , the financial houses at least had to pay lip service to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under
NCTTI-0330	loose woman	loose	woman	if you are a female musician in zimbabwe you are seen as a kind of loose woman .
NCTTI-0331	lotus position	lotus	position	them as they go . they might tuck their legs under their groin in a lotus position , increasing their flexibility and movement of limbs and help them to release their stiffness
NCTTI-0332	lotus position	lotus	position	ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the lotus position - - as well as a strong environmental ethic . threaded through all this is dissatisfaction
NCTTI-0333	lotus position	lotus	position	the floor so we decided that two older ladies trying to get up from the lotus position on the ground would more than likely demolish the teepee and thought we ' d give
NCTTI-0334	love song	love	song	the romance in moulin rouge breathes thanks to the love songs that his protagonists sing .
NCTTI-0335	love song	love	song	i know but this is a love song you could really dance to .
NCTTI-0336	low profile	low	profile	i ' ve written the guestbook myself in asp and it was the shock that someone was targeting my low profile site which i found a bit creepy .
NCTTI-0337	low profile	low	profile	some 7 , 000 police officers were on call but security forces kept a low profile along the rally ' s route .
NCTTI-0338	mail service	mail	service	a more recent development is the web - based mail service , such as hotmail , yahoo mail , and others .
NCTTI-0339	mailing list	mailing	list	. for the keen , it has more information about the commands used by the mailing list software . if your confirmation e - mail went through successfully , you will be sent an
NCTTI-0340	mailing list	mailing	list	uk . further information is available by calling 0 1626 835055 . more join our mailing list to receive regular updates on the latest financial , tax and business issues . tuesday
NCTTI-0341	mailing list	mailing	list	management ( crm ) support services including ; database profiling , data mining , prospect mailing lists , direct marketing , data warehousing , data processing , data cleansing , suppression and
NCTTI-0342	market place	market	place	my client is one of the most recognised brands in the financial services market place .
NCTTI-0343	medical procedure	medical	procedure	accidental exposures in radiotherapy continue to occur ; radiation injuries continue to be caused in interventional medical procedures .
NCTTI-0344	melting pot	melting	pot	ranging from irish folk to music from asia minor ; zuba - providing a global melting pot of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo
NCTTI-0345	melting pot	melting	pot	, coptic and eastern traditions to create a sublimely unified artistic vision of the cultural melting pot of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others
NCTTI-0346	melting pot	melting	pot	heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal melting pot of punk / funk / art / jazz / dub / disco , and pat
NCTTI-0347	memory lane	memory	lane	"sussex county council ' s children ' s services as "" excel more ¬ª trip down memory lane from the early 1940 ' s when beaches were a heavily defended no go area ,"
NCTTI-0348	memory lane	memory	lane	80 . this is a droll website . it really is a walk down the memory lane of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk
NCTTI-0349	memory lane	memory	lane	behind a hotel . the station hotel if i remember correctly . great trip down memory lane with the virtual tour . posted by dave at 0 5 / 0 8 /
NCTTI-0350	middle school	middle	school	by interacting with american inventors and entrepreneurs , middle school students learn firsthand about history , technology , and science .
NCTTI-0351	monkey business	monkey	business	"the lessons . ' in o ' brien ' s case the prosecutor said "" clearly monkey business "" had occurred with police notes . in interrogation i was offered ¬£ 10 , 000 to"
NCTTI-0352	monkey business	monkey	business	. architecturally magnificent , it is as clean as a whistle , and absolutely no monkey business goes on . what ' s more , the entire 16 stages of the treatment are
NCTTI-0353	monkey business	monkey	business	lenses and filters . but if they√ø¬æ ¬¥ re not honests sooner or later their monkey business is gonna stop . thankx to you all ! ! ! ! reply from ian date 22 /
NCTTI-0354	mother tongue	mother	tongue	all translators ranslate into mother tongue and live in - country .
NCTTI-0355	music journalist	music	journalist	other guest speakers include music journalist and radio presenter steve lamacq , music industry lawyer helen searle , whose clients include jamiroquai and moby .
NCTTI-0356	nest egg	nest	egg	allowing younger workers to save some of their taxes in a personal account√ç - - a nest egg you can call your own , and government can never take away . in all
NCTTI-0357	nest egg	nest	egg	would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt . for many customers
NCTTI-0358	nest egg	nest	egg	700 million savings scheme being piloted by the government to help people build up a nest egg . under the ¬ì saving gateway ¬î project , families with an income of less
NCTTI-0359	net income	net	income	the record company posted a net income of $ 178 million on sales .
NCTTI-0360	net income	net	income	net income dropped 40 percent to $ 153 . 4 million due to costs to expense stock options .
NCTTI-0361	night owl	night	owl	constant battle for us , as he is a morning person & i am a night owl , so i find that going to sleep at 9 . 30 really cuts out the best
NCTTI-0362	night owl	night	owl	usually spend the night watching movies or searching for visual imagery . i ' m a night owl , and seldom go to bed before midnight . what is the morriswhat is the
NCTTI-0363	night owl	night	owl	will be most focused on your studies . are you a morning person or a night owl ? do you concentrate best after a cup of coffee or after lunch ? once
NCTTI-0364	noble gas	noble	gas	other elements in the periodic table react with other elements to gain the ' more stable ' noble gas configuration .
NCTTI-0365	noise complaint	noise	complaint	some of the noise complaints i get relate to incoming planes .
NCTTI-0366	noise complaint	noise	complaint	the council ' s noise service investigate a wide range of noise complaints from a variety of sources .
NCTTI-0367	number crunching	number	crunching	for developing speaking and listening skills ! and then there are those who enjoy the number crunching . kieran and joe in miss moran ' s class ensure that our score boards are
NCTTI-0368	number crunching	number	crunching	: 30 . trying to do dfs at that time of day after all the number crunching you ' ve already had , just was n ' t for me i ' m afraid , but
NCTTI-0369	number crunching	number	crunching	a large chunk of club funds . prepare properly and get professional help with the number crunching and you may be pleasantly surprised by the reaction from the management team . of
NCTTI-0370	nut case	nut	case	just between you and me he ' s a bit of a nut case .
NCTTI-0371	nut case	nut	case	okay , i get the jersey attitude and the fact that abruzzi is a nut case .
NCTTI-0372	old flame	old	flame	she is an old flame of steve ' s , so he invites her to lunch .
NCTTI-0373	old hat	old	hat	i think perhaps that zap - it - up games are becoming a little bit old hat .
NCTTI-0374	old hat	old	hat	the trouble is that our citizens take all that for granted - it ' s all old hat .
NCTTI-0375	old hat	old	hat	this may be old hat in most of the world , but in iraq it ' s virtually a revolution .
NCTTI-0376	old timer	old	timer	a handicap system means that any new player can successfully challenge the old timers .
NCTTI-0377	old timer	old	timer	i suppose newcomers to the groups probably think us old timers are hard - hearted and uncaring .
NCTTI-0378	old timer	old	timer	if you ' re an old timer , you might remember some of these events , perhaps in their european parallels .
NCTTI-0379	pain killer	pain	killer	there may be symptoms such as bleeding or persistent pain not relieved by simple pain killers .
NCTTI-0380	pain killer	pain	killer	rheumatoid arthritis should be treated by a doctor who would start with anti - inflammatory pain killers such as ibuprofen .
NCTTI-0381	panda car	panda	car	night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his panda car from the village , hoping that the man would realise he had failed to switch
NCTTI-0382	panda car	panda	car	alarms . the second is the provision of a comprehensive vehicle installation service ranging from panda cars to motorcycles . the last two units also install , repair and maintain communications equipment
NCTTI-0383	panda car	panda	car	staffordshire . logopolis & logo police . not the badge on the side of a panda car - dr who went to the former , the latter practise logography . m moat
NCTTI-0384	parking lot	parking	lot	shopping , the first thing to remember is that you should not park in the parking lot and walk to the mall buildings , because you will probably get killed . instead
NCTTI-0385	parking lot	parking	lot	motorists are asked to avoid parking in isolated or darkened areas of camping sites or parking lots . tourists are advised to conceal bags and purses even when driving , and to
NCTTI-0386	parking lot	parking	lot	and starts processing my car rental . the rental cars are located in an adjacent parking lot just out side the main terminal building . no need wait for a bus to
NCTTI-0387	peace conference	peace	conference	this report stimulated widespread discussion among the governmental representatives attending the peace conference .
NCTTI-0388	pecking order	pecking	order	. i know you can say that birds are only too keen to demonstrate the pecking order and some may conveniently be described as bullies . but by and large everyone gets
NCTTI-0389	pecking order	pecking	order	does n ' t come to blows but you feel there ' s some sorting out of the pecking order going on . goldfinches and tits are the regulars at the bird feeders . a
NCTTI-0390	pecking order	pecking	order	each other and with a group within which there is little assertion of rank or pecking order among participants . brainstorming is the basis for other group decision - making techniques . appendix b
NCTTI-0391	pillow slip	pillow	slip	i ' d rather use little incidents like when the clash stole a pillow slip from a hotel .
NCTTI-0392	pillow slip	pillow	slip	we provide : mattresses ; mattress cover and clean under sheet ; pillow & pillow slip .
NCTTI-0393	pillow slip	pillow	slip	she discovered a very beautifully bound leather book , with pages stiff and creamy as starched pillow slips .
NCTTI-0394	pipe dream	pipe	dream	the party ' s vision of an independent , socialist scotland is fast becoming a pipe dream .
NCTTI-0395	pipe dream	pipe	dream	are these plans the pipe dreams of self - aggrandising bureaucrats ?
NCTTI-0396	pipe dream	pipe	dream	the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a pipe dream .
NCTTI-0397	pocket book	pocket	book	she had written down the date in her pocket book of the day when she dispatched it .
NCTTI-0398	polo shirt	polo	shirt	we went to guernsey last september we were all decked out in a specific tour polo shirt . we looked the best team there and everyone knew who we were ( this
NCTTI-0399	polo shirt	polo	shirt	if we use your review we will send you one of our hook norton brewery polo shirts , so remember , tell us your size ! . payment is via paypal .
NCTTI-0400	polo shirt	polo	shirt	they need to get in touch with sca - this year they will be white polo shirts , with the sca hand on the back and your name and position on the
NCTTI-0401	prison guard	prison	guard	the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single prison guard .
NCTTI-0402	private eye	private	eye	carmella is missing , but will private eye connor take the case ?
NCTTI-0403	private eye	private	eye	if you want dirt , the private eye suggested , you should steal the man ' s garbage .
NCTTI-0404	public service	public	service	needs to be improved . the freeing - up of radio spectrum for new applications and modernising public services both need to be sped up too , the authors say . reding added :
NCTTI-0405	public service	public	service	hold them responsible for results but currently lacks opportunities to exercise any real influence on public services . localisation creates space for relationships - other than the otherwise dominant relationship between frontline
NCTTI-0406	public service	public	service	spraying champagne over the crowd . that is irresponsible and it does not deliver better public services . productivity in key services like the nhs has been falling like a stone .
NCTTI-0407	radio station	radio	station	the times educational supplement ) and as a broadcaster for the bbc and various independent radio stations . he was the editor of books for keeps from 1989 till 1996 when it
NCTTI-0408	radio station	radio	station	substantially over the years and is known as one of the biggest and experienced student radio stations around . how it happened in 1968 , students at york university received ministry of
NCTTI-0409	radio station	radio	station	power efficiency figures , and have a similarly large effect on the distribution costs per radio station . the effect of transmission frequency - - which seems to be somewhat overlooked - - has
NCTTI-0410	radioactive material	radioactive	material	we are exhausting fossil fuels and using dangerous radioactive materials to produce energy and run cars .
NCTTI-0411	radioactive waste	radioactive	waste	the london dumping convention halted all ocean dumping of radioactive waste .
NCTTI-0412	radioactive waste	radioactive	waste	if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and radioactive waste from natural uranium decay in the coal ) .
NCTTI-0413	radioactive waste	radioactive	waste	the european community has adopted regulations on the transboundary movement of radioactive wastes .
NCTTI-0414	rainy season	rainy	season	thailand ' s monsoons arrive around july and last into november ( the ' rainy season ' ) .
NCTTI-0415	rainy season	rainy	season	the disease occurred in august and september , after the onset of the rainy season .
NCTTI-0416	rat race	rat	race	. some people have felt the light commanding them to opt out of the rat race ' perhaps to abandon a status - driven career path in favour of work that embodies
NCTTI-0417	rat race	rat	race	in the bank you can then decide whether you need to get back into the rat race that put you in hospital in the first place . this cover goes hand in
NCTTI-0418	rat race	rat	race	could be short - term retreats for those members of the serious classes who may find the rat race - or even the mouse race - to be a bit too much for the
NCTTI-0419	rat run	rat	run	indicates that the problem in brookside is that it is used as a cut - through ( rat run ) . by far the majority of motor vehicles using this narrow street are not
NCTTI-0420	rat run	rat	run	about speeding vehicles , including the delivery lorries and the road being used as a rat run . john stressed that everyone with views on the proposals should write to the planning
NCTTI-0421	rat run	rat	run	a beautiful , tiny and completely unspoilt village in northamptonshire which is used as a rat run between our local town and a much larger city . i have absolutely no objection
NCTTI-0422	research lab	research	lab	the fourth year is spent doing a research project in a ' real ' research lab .
NCTTI-0423	research project	research	project	to the european commission ' s 6 th framework programme . he also managed fp 6 research projects on ethics and contributed to eu policy development on ethics . after leaving the commission
NCTTI-0424	research project	research	project	that information as set out in this privacy policy . young lives is an international research project that is recording changes in child poverty over 15 years . author ' s home page
NCTTI-0425	research project	research	project	joined the research department at kraft foods where i worked on both continuous and branded research projects . a key part of my role was supporting the brand team with actionable consumer
NCTTI-0426	rice paper	rice	paper	rice paper is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .
NCTTI-0427	rice paper	rice	paper	the result is monochromatic nude self - portraits produced with chinese ink on rice paper .
NCTTI-0428	rock bottom	rock	bottom	has been an acceptable outturn for this season for most of us since we hit rock bottom at xmas . some fans were talking about the club being relegated and being better
NCTTI-0429	rock bottom	rock	bottom	. the reason why so few do is probably because their prices are cut to rock bottom for commercial reasons and this precludes much in the way of on - site voicing . if
NCTTI-0430	rock bottom	rock	bottom	, by acting as a star chamber in the sale of prime development land at rock bottom prices . three members of the public who bravely chased and held on to a
NCTTI-0431	rocket science	rocket	science	jacket might be called ' the secret of my success ' . this is n ' t rocket science : he talks about basic business skills like negotiation , time management and creativity .
NCTTI-0432	rocket science	rocket	science	i ¬í d rather do . i know it ¬í s not brain surgery or rocket science , but for me it ¬í s a privilege to work on a national news
NCTTI-0433	rocket science	rocket	science	rental yields that suggest they are 50 % or so overvalued . this is not rocket science : with a 4 % yield it takes 25 years to re - pay the value of
NCTTI-0434	role model	role	model	- studying and observing individuals whose personal success in their field qualifies them as exceptional role models . no wonder they call it the study of excellence - the art of change
NCTTI-0435	role model	role	model	for such an honour than john charles , ' said councillor bailey . ' great role model ' ' it is , therefore , only fitting that our farewell to the gentle
NCTTI-0436	role model	role	model	encourages black , asians and orientals into underrepresented occupational fields and also identify much needed role models . 4 . the diversity lecture in the house of commons ( february ) which
NCTTI-0437	rush hour	rush	hour	subway stations also were hit in up to seven apparently coordinated blasts in the morning rush hour . trackback uri rss feed for comments on this post 1 comment ¬ª trackback by
NCTTI-0438	rush hour	rush	hour	a whole day of diving . i am already a convert to the reef ' s rush hour ! sunset is invariably a time of day when divers are dry . dusk diving
NCTTI-0439	rush hour	rush	hour	route at the northern end of the city centre . in contrast in the morning rush hour , this leopard is on a short and looping round in the octagon . the
NCTTI-0440	sacred cow	sacred	cow	seller , two ice cream vendors , a fruit stall , a beggar and a sacred cow have all arrived on the scene . about two dozen adults are waiting to go
NCTTI-0441	sacred cow	sacred	cow	worlds of art and sacrilege . for savoy , in fact , there are no sacred cows ; every icon is a balloon to be punctured . they ' ve been accused of
NCTTI-0442	sacred cow	sacred	cow	minds . in the complete plain words , sir ernest gowers quotes : ¬ì the sacred cows have come home to roost with a vengeance ¬î as a stock example of the
NCTTI-0443	search engine	search	engine	"wins battle for the . no domain name one of the world ' s most popular search engines won the rights thursday to the norwegian domain "" google . no . "" it"
NCTTI-0444	search engine	search	engine	exalead 17 , for example , is in many ways a far superior search engine to either google or msn search , but i ' m going to have to remember
NCTTI-0445	search engine	search	engine	. paid options and free educational no ad search options available . pay - per - search put a search engine on your page and get paid ( a few cents ) everytime someone uses it
NCTTI-0446	sex bomb	sex	bomb	ferrara and holmes double - team canadian sex bomb bella marie wolf .
